gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2974373235	StillImage	image/jpeg	https://bs.plantnet.org/image/o/a55c920fd1290d71d300dde402586263f60a5120		Spiraea douglasii Hook.: flower	Spiraea douglasii Hook.: flower	https://identify.plantnet.org/observation/weurope/1007334646		2020-06-20T15:56:38Z	Joanne Boulvin			Joanne Boulvin (cc-by-sa)	Joanne Boulvin
2974367747	StillImage	image/jpeg	https://bs.plantnet.org/image/o/2e824b8405552631385d104aaf42c06c279b3a32		Taxus baccata L.: leaf	Taxus baccata L.: leaf	https://identify.plantnet.org/observation/weurope/1007479874		2020-06-27T15:03:57.496Z	Michel Bertolo			Michel Bertolo (cc-by-sa)	Michel Bertolo
2974334223	StillImage	image/jpeg	https://bs.plantnet.org/image/o/503f2d09428788346872c3211e13df264d4460a0		Polygonatum multiflorum (L.) All.: leaf	Polygonatum multiflorum (L.) All.: leaf	https://identify.plantnet.org/observation/the-plant-list/1006619797		2020-05-19T13:50:10Z	Malaurie Hons			Malaurie Hons (cc-by-sa)	Malaurie Hons
2974324109	StillImage	image/jpeg	https://bs.plantnet.org/image/o/363465ce9c8f7b0806db43ab33efdd102a4fe982		Allium ursinum L.: leaf	Allium ursinum L.: leaf	https://identify.plantnet.org/observation/weurope/1006747925		2020-05-24T15:18:10Z	Dr Bullit			Dr Bullit (cc-by-sa)	Dr Bullit
2963938598	StillImage	image/jpeg	https://static.inaturalist.org/photos/101613466/original.jpeg?1603472485	https://www.inaturalist.org/photos/101613466					2020-10-23T22:46:05Z	Vespa-Watch		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Vespa-Watch
2963938598	StillImage	image/jpeg	https://static.inaturalist.org/photos/101613441/original.jpeg?1603472472	https://www.inaturalist.org/photos/101613441					2020-10-23T13:00:00Z	Vespa-Watch		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Vespa-Watch
2963938598	StillImage	image/jpeg	https://static.inaturalist.org/photos/101613453/original.jpeg?1603472477	https://www.inaturalist.org/photos/101613453					2020-10-23T22:33:22Z	Vespa-Watch		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Vespa-Watch
2963896589	StillImage	image/jpeg	https://static.inaturalist.org/photos/101613569/original.jpeg?1603472535	https://www.inaturalist.org/photos/101613569					2020-10-23T23:41:36Z	Vespa-Watch		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Vespa-Watch
2901811829	StillImage	image/jpeg	https://static.inaturalist.org/photos/100799644/original.jpeg?1602996920	https://www.inaturalist.org/photos/100799644					2020-10-16T01:09:17Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2901701837	StillImage	image/jpeg	https://static.inaturalist.org/photos/100799631/original.jpeg?1602996910	https://www.inaturalist.org/photos/100799631					2020-09-29T19:49:20Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2901569429	StillImage	image/jpeg	https://static.inaturalist.org/photos/82855195/original.jpeg?1594032291	https://www.inaturalist.org/photos/82855195					2020-07-06T18:47:17Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2898492417	StillImage	image/jpeg	https://static.inaturalist.org/photos/82855108/original.jpeg?1594032236	https://www.inaturalist.org/photos/82855108					2020-07-06T18:41:55Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2898437296	StillImage	image/jpeg	https://static.inaturalist.org/photos/100413247/original.jpeg?1602781218	https://www.inaturalist.org/photos/100413247					2020-10-12T23:11:59Z	Vespa-Watch		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Vespa-Watch
2883091700	StillImage	image/jpeg	https://static.inaturalist.org/photos/98506857/original.jpg?1601719153	https://www.inaturalist.org/photos/98506857					2009-05-03T19:57:02Z	Bart Wursten		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bart Wursten
2882929564	StillImage	image/jpeg	https://static.inaturalist.org/photos/98507448/original.jpg?1601719826	https://www.inaturalist.org/photos/98507448					2009-05-03T20:57:30Z	Bart Wursten		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bart Wursten
2874035455	StillImage	image/jpeg	https://static.inaturalist.org/photos/97700507/original.jpg?1601275719	https://www.inaturalist.org/photos/97700507					2009-03-19T19:53:48Z	Bart Wursten		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bart Wursten
2874035455	StillImage	image/jpeg	https://static.inaturalist.org/photos/97700512/original.jpg?1601275724	https://www.inaturalist.org/photos/97700512					2009-03-19T19:55:25Z	Bart Wursten		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bart Wursten
2873904528	StillImage	image/jpeg	https://static.inaturalist.org/photos/97145505/original.jpeg?1601060238	https://www.inaturalist.org/photos/97145505					2020-09-25T19:20:19Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2873753531	StillImage	image/jpeg	https://static.inaturalist.org/photos/97080140/original.jpeg?1601031805	https://www.inaturalist.org/photos/97080140					2020-09-25T10:21:17Z	Maarten Trekels		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Maarten Trekels
2873753531	StillImage	image/jpeg	https://static.inaturalist.org/photos/97080143/original.jpeg?1601031809	https://www.inaturalist.org/photos/97080143					2020-09-25T10:21:17Z	Maarten Trekels		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Maarten Trekels
2868401519	StillImage	image/jpeg	https://static.inaturalist.org/photos/96594740/original.jpeg?1600776164	https://www.inaturalist.org/photos/96594740					2020-09-22T20:17:54Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2868401519	StillImage	image/jpeg	https://static.inaturalist.org/photos/96594711/original.jpeg?1600776145	https://www.inaturalist.org/photos/96594711					2020-09-22T20:17:57Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2868394556	StillImage	image/jpeg	https://static.inaturalist.org/photos/96652066/original.jpeg?1600800555	https://www.inaturalist.org/photos/96652066					2020-09-22T20:10:37Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2868362451	StillImage	image/jpeg	https://static.inaturalist.org/photos/96594667/original.jpeg?1600776116	https://www.inaturalist.org/photos/96594667					2020-09-22T20:18:55Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2868362451	StillImage	image/jpeg	https://static.inaturalist.org/photos/96594688/original.jpeg?1600776128	https://www.inaturalist.org/photos/96594688					2020-09-22T20:18:52Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2868355309	StillImage	image/jpeg	https://static.inaturalist.org/photos/12003226/original.jpeg?1511503655	https://www.inaturalist.org/photos/12003226					2017-11-23T20:33:06Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2868119317	StillImage	image/jpeg	https://static.inaturalist.org/photos/33671376/original.jpeg?1553878981	https://www.inaturalist.org/photos/33671376					2019-03-29T23:27:39Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2868080273	StillImage	image/jpeg	https://static.inaturalist.org/photos/96416997/original.jpeg?1600686683	https://www.inaturalist.org/photos/96416997					2020-09-21T20:08:50Z	Maarten Trekels		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Maarten Trekels
2864867920	StillImage	image/jpeg	https://static.inaturalist.org/photos/95670894/original.jpeg?1600325105	https://www.inaturalist.org/photos/95670894					2020-09-16T19:45:26Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2864827428	StillImage	image/jpeg	https://static.inaturalist.org/photos/83548550/original.jpeg?1594365692	https://www.inaturalist.org/photos/83548550					2020-05-23T22:38:21Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
