id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
43923076,2020-04-27 4:37:22 PM GMT+02:00,2020-04-27,2020-04-27 14:37:22 UTC,Africa/Johannesburg,63000,qgroom,2020-04-27 16:33:34 UTC,2020-04-28 07:24:30 UTC,needs_id,CC0,https://www.inaturalist.org/observations/43923076,https://static.inaturalist.org/photos/69653100/medium.jpeg?1588005220,,"",,0,0,false,2,"Tervuren, Belgium",50.8358109722,4.535241,,,,false,gps,gps,Flesh Flies,Sarcophagidae,Flesh Flies,Insecta,52910
45355639,2020/05/09 1:45 PM CEST,2020-05-09,2020-05-09 11:45:00 UTC,Brussels,63000,qgroom,2020-05-09 12:11:52 UTC,2020-08-10 16:37:21 UTC,needs_id,CC0,https://www.inaturalist.org/observations/45355639,https://static.inaturalist.org/photos/71918770/medium.jpeg?1589025992,,"",,1,0,false,,"Tervuren, Belgium",50.8357970469,4.5351013498,44,,,false,,,Calyptrate Flies,Calyptratae,Calyptrate Flies,Insecta,342767
45355641,2020/05/09 1:43 PM CEST,2020-05-09,2020-05-09 11:43:00 UTC,Brussels,63000,qgroom,2020-05-09 12:11:52 UTC,2020-05-09 13:24:42 UTC,needs_id,CC0,https://www.inaturalist.org/observations/45355641,https://static.inaturalist.org/photos/71918788/medium.jpeg?1589026000,,"",,0,0,false,,"Tervuren, Belgium",50.8357970469,4.5351013498,44,,,false,,,Cabbage White,Pieris rapae,Cabbage White,Insecta,55626
45355642,2020/05/09 1:41 PM CEST,2020-05-09,2020-05-09 11:41:00 UTC,Brussels,63000,qgroom,2020-05-09 12:11:53 UTC,2020-05-10 08:03:35 UTC,research,CC0,https://www.inaturalist.org/observations/45355642,https://static.inaturalist.org/photos/71918793/medium.jpeg?1589026002,,"",,1,0,false,,"Tervuren, Belgium",50.8357970469,4.5351013498,44,,,false,,,mouse-ear chickweed,Cerastium fontanum,mouse-ear chickweed,Plantae,53307
45355648,2020/05/09 1:37 PM CEST,2020-05-09,2020-05-09 11:37:00 UTC,Brussels,63000,qgroom,2020-05-09 12:11:55 UTC,2020-05-09 12:48:17 UTC,research,CC0,https://www.inaturalist.org/observations/45355648,https://static.inaturalist.org/photos/71918800/medium.jpeg?1589026006,,"",,2,0,false,,"Tervuren, Belgium",50.8357970469,4.5351013498,44,,open,false,,,Agrion porte-coupe,Enallagma cyathigerum,Common Blue Damselfly,Insecta,99901
45355650,2020/05/09 1:34 PM CEST,2020-05-09,2020-05-09 11:34:00 UTC,Brussels,63000,qgroom,2020-05-09 12:11:55 UTC,2020-06-01 22:02:39 UTC,needs_id,CC0,https://www.inaturalist.org/observations/45355650,https://static.inaturalist.org/photos/71918817/medium.jpeg?1589026016,,"",,1,0,false,,"Tervuren, Belgium",50.8357970469,4.5351013498,44,,,false,,,Syrphes,Syrphidae,Hover Flies,Insecta,49995
45355652,2020/05/09 1:29 PM CEST,2020-05-09,2020-05-09 11:29:00 UTC,Brussels,63000,qgroom,2020-05-09 12:11:56 UTC,2020-06-06 12:58:31 UTC,research,CC0,https://www.inaturalist.org/observations/45355652,https://static.inaturalist.org/photos/71918828/medium.jpeg?1589026024,,"","",2,0,false,,"Tervuren, Belgium",50.8357970469,4.5351013498,44,,,false,,,Thomise variable,Misumena vatia,Goldenrod Crab Spider,Arachnida,55746
45355657,2020/05/09 1:28 PM CEST,2020-05-09,2020-05-09 11:28:00 UTC,Brussels,63000,qgroom,2020-05-09 12:11:58 UTC,2020-10-27 21:24:10 UTC,research,CC0,https://www.inaturalist.org/observations/45355657,https://static.inaturalist.org/photos/71918830/medium.jpeg?1589026025,,"",,1,0,false,,"Tervuren, Belgium",50.8357970469,4.5351013498,44,,,false,,,Rindenspringspinne,Marpissa muscosa,Fencepost jumping spider,Arachnida,146723
45355658,2020/05/09 1:28 PM CEST,2020-05-09,2020-05-09 11:28:00 UTC,Brussels,63000,qgroom,2020-05-09 12:11:58 UTC,2020-05-21 00:53:28 UTC,research,CC0,https://www.inaturalist.org/observations/45355658,https://static.inaturalist.org/photos/71918835/medium.jpeg?1589026028,,"",,2,0,false,,"Tervuren, Belgium",50.8357970469,4.5351013498,44,,,false,,,Walnut Orbweaver,Nuctenea umbratica,Walnut Orbweaver,Arachnida,130092
45355940,2020/05/09 1:31 PM CEST,2020-05-09,2020-05-09 11:31:00 UTC,Brussels,63000,qgroom,2020-05-09 12:15:41 UTC,2020-05-11 07:17:52 UTC,research,CC0,https://www.inaturalist.org/observations/45355940,https://static.inaturalist.org/photos/71919557/medium.jpeg?1589026499,,"",,2,0,false,,"Tervuren, Belgium",50.8358012072,4.5350394946,61,,open,false,,,Eurasian Blue Tit,Cyanistes caeruleus,Eurasian Blue Tit,Aves,144849
